code	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	assign9	section	explore	weekly0%	midterm	final	total	grade
23177	9	16	0	0	0	14	0	10	16	20	0	48.30%	76	55	56.52	0.6
23180	8	16	20	19	18	20	20	10	18	20	3	97.70%	93	96	96.09	3.9
23209	8	15	17	17	15	18	18	8	14	20	0	85.20%	92	88	87.69	3.3
23279	10	16	18	16	13	16	0	4	11	20	0	70.50%	88	65	71.78	1.9
23572	9	16	20	18	18	19	19	6	20	20	0	93.80%	100	84	91.1	3.5
23666	9	16	20	18	19	17	14	8	14	20	0	88.10%	72	65	75.63	2.2
23691	9	16	20	18	18	18	19	9	20	20	1.67	95.80%	90	90	92.33	3.6
23696	10	16	20	19	18	19	19	9	19	20	0.33	96.20%	98	89	93.68	3.8
23859	10	16	20	19	17	18	19	9	15	20	0	92.60%	94	89	91.45	3.6
23897	10	16	20	16	20	20	18	10	19	20	0	96.00%	96	92	94.41	3.8
23917	10	16	20	17	18	18	18	7	19	20	0	92.60%	94	89	91.45	3.6
23925	10	16	20	17	18	19	17	8	14	20	0	90.30%	89	76	84.34	3
23957	10	16	20	20	18	19	17	9	20	20	0	96.00%	95	98	96.61	3.9
23989	9	14	20	18	16	18	19	8	17	20	1.67	91.30%	94	83	88.52	3.3
24014	7	15	20	18	18	17	17	7	13	20	0	86.40%	94	100	93.35	3.7
24045	8	15	20	17	17	19	17	8	18	20	0	90.30%	93	87	89.54	3.4
24046	9	8	17	18	16	17	16	7	19	20	0	83.50%	85	83	83.61	2.9
24049	9	16	16	17	15	18	7	10	17	20	0	82.40%	98	90	88.55	3.3
24052	10	15	17	17	19	19	20	7	14	20	0	89.80%	97	86	89.71	3.4
24115	9	15	15	18	18	14	17	10	19	20	0	88.10%	92	84	87.23	3.2
24170	9	16	14	17	14	13	15	7	13	20	0.67	78.80%	79	77	78.12	2.4
24171	10	16	20	19	20	20	19	9	16	20	0	96.00%	101	101	99.01	4
24441	10	16	20	20	19	20	20	9	18	20	0.33	97.90%	83	95	93.77	3.8
24526	9	15	20	17	17	0	19	0	0	20	0	66.50%	86	64	69.39	1.7
24592	10	16	20	19	18	19	19	10	17	20	0.33	95.60%	101	82	91.26	3.5
24686	9	16	20	19	20	0	19	10	18	20	0	85.80%	79	75	80.12	2.6
24893	9	16	14	14	15	14	16	8	12	20	0	78.40%	69	57	67.96	1.5
24917	10	15	20	17	20	20	20	8	19	20	0	96.00%	85	83	88.61	3.3
25163	10	15	20	20	19	19	18	0	18	20	0	90.30%	85	92	89.94	3.4
25165	8	15	0	15	9	14	14	6	0	6	0	49.40%	96	55	60.97	0.9
25194	10	16	20	20	19	19	18	8	16	18	0	93.20%	73	57	74.67	2.1
25290	9	16	20	17	19	19	0	8	16	20	0	81.80%	86	69	77.53	2.4
25399	9	13	13	14	13	16	13	5	15	20	0	74.40%	69	67	70.37	1.8
25611	10	16	18	18	17	18	17	9	19	20	0	92.00%	94	90	91.62	3.6
26099	10	16	20	20	17	19	18	10	19	20	0	96.00%	81	85	88.61	3.3
26194	6	16	18	0	13	19	15	0	0	3	0	51.10%	65	7	36.25	0
26252	10	16	19	18	18	19	20	9	19	20	0	95.50%	92	86	90.98	3.5
